HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ
0.0346,1.7656,-0.9146,13.7244,356.0449,346.6967
0.0341,1.7666,-0.9166,13.6143,356.4417,351.0183
0.0333,1.7668,-0.9189,13.6143,356.6888,354.1861
0.0325,1.7664,-0.9209,13.3849,356.7282,355.7287
0.032,1.7664,-0.922,13.3269,356.6877,356.4001
0.031,1.7661,-0.9241,12.9834,356.4031,356.8494
0.0305,1.766,-0.9252,12.7594,356.2607,357.1014
0.0279,1.7663,-0.9294,11.655,355.8513,357.8032
0.0271,1.7663,-0.9307,11.3689,355.7368,358.0386
0.0264,1.7664,-0.9318,11.1122,355.5908,358.2704
0.0247,1.7669,-0.934,10.648,355.3849,358.5547
0.0232,1.7673,-0.9352,10.5759,355.2872,358.9598
0.0224,1.7674,-0.9357,10.555,355.2811,359.2515
0.0205,1.7675,-0.9366,10.3716,355.0993,359.9595
0.02,1.7678,-0.9365,10.376,355.1193,0.121
0.019,1.768,-0.936,10.3765,355.1798,0.3529
0.0186,1.768,-0.9358,10.3021,355.0906,0.4312
0.017,1.7681,-0.9352,10.2856,355.0994,0.7787
0.0149,1.7679,-0.9342,10.3504,354.9977,1.1762
0.014,1.7677,-0.9337,10.3438,354.9779,1.2981
0.0116,1.7672,-0.9327,10.4094,354.8504,1.6798
0.0085,1.7672,-0.9309,10.7027,354.7353,2.0487
0.0061,1.7673,-0.9291,10.7192,354.7249,2.1463
0.0017,1.7668,-0.9259,10.805,354.8857,2.4192
-0.0034,1.7657,-0.9227,11.1722,354.9857,2.6402
-0.0122,1.7636,-0.9174,12.1925,355.2415,2.8788
-0.0219,1.762,-0.9109,13.5208,355.5549,2.697
-0.0271,1.7614,-0.9078,14.0765,355.7262,2.6052
-0.0395,1.7607,-0.9008,14.769,356.3526,2.5162
-0.0461,1.7601,-0.897,14.7286,356.6885,2.4926
-0.0609,1.7597,-0.8878,14.9689,357.4027,2.5805
-0.0687,1.7591,-0.8828,15.185,357.72,2.5554
-0.0858,1.758,-0.8708,15.6702,358.5364,2.6274
-0.0946,1.7571,-0.8649,15.9119,358.8894,2.5056
-0.1137,1.7545,-0.8516,16.6487,359.6486,1.9864
-0.1343,1.7517,-0.838,17.6931,0.5381,1.1134
-0.1448,1.7502,-0.8316,18.4136,1.1575,0.6356
-0.1562,1.7494,-0.8247,19.4513,1.9966,359.8536
-0.1778,1.75,-0.8102,21.4215,3.4548,358.5292
-0.1887,1.7495,-0.8029,22.6542,4.2644,357.9933
-0.2096,1.7461,-0.7897,25.1278,5.6877,356.9439
-0.2194,1.7438,-0.7834,26.8181,6.461,356.4335
-0.2385,1.7383,-0.7716,30.2292,7.7433,355.4912
-0.2555,1.7335,-0.7608,33.7804,8.5047,354.5724
-0.264,1.7319,-0.7557,35.1416,8.9319,354.146
-0.2788,1.7296,-0.7464,36.2887,9.4014,353.3571
-0.2861,1.7282,-0.7417,36.9701,9.7453,352.8208
-0.2982,1.7262,-0.7331,37.7024,10.5228,352.4616
-0.3041,1.725,-0.7291,38.1967,10.9135,352.3297
-0.3143,1.723,-0.7224,39.1146,12.051,352.4495
-0.3191,1.722,-0.7191,39.526,12.5665,352.569
-0.3279,1.7193,-0.714,40.1764,13.4079,352.8614
-0.3318,1.7178,-0.7124,40.355,13.8876,353.1063
-0.3383,1.718,-0.709,41.0293,14.1855,353.4137
-0.3406,1.7199,-0.7069,40.8986,14.4021,353.7371
-0.3427,1.7242,-0.7032,39.8923,14.6696,353.8249
-0.3449,1.7269,-0.7,39.2208,15.0256,353.7552
-0.347,1.729,-0.6965,38.35,15.4792,353.8129
-0.3493,1.7284,-0.6943,37.7786,16.3779,354.6195
-0.3506,1.728,-0.6934,37.2467,16.7608,355.1766
-0.3524,1.7316,-0.6912,35.5635,17.3209,356.9268
-0.3536,1.7331,-0.6906,34.0444,17.6893,357.6518
-0.3559,1.7414,-0.6891,30.9383,18.0505,358.743
-0.3573,1.7447,-0.6887,29.0863,17.9669,359.1557
-0.361,1.7521,-0.6885,24.6182,17.963,359.0252
-0.3629,1.7549,-0.6887,22.7745,17.8104,359.0787
-0.3681,1.758,-0.6903,19.9248,17.5797,358.9451
-0.3706,1.7595,-0.6909,18.893,17.6777,359.0951
-0.3765,1.7622,-0.6922,17.2476,17.9647,358.9553
-0.3831,1.7643,-0.6933,15.4841,18.3083,359.398
-0.3867,1.7652,-0.6937,14.8671,18.5838,359.6501
-0.3909,1.7658,-0.6943,14.4733,18.6809,359.9161
-0.3986,1.767,-0.6941,13.2812,18.9097,0.4977
-0.4026,1.7668,-0.6939,13.1634,19.0619,0.8042
-0.4095,1.7665,-0.6934,13.1026,19.0139,1.2291
-0.4155,1.7666,-0.6928,12.6535,18.9196,0.8633
-0.4178,1.767,-0.6927,12.4299,18.9119,0.4986
-0.4219,1.7669,-0.6928,12.2843,18.8544,0.1999
-0.4228,1.7669,-0.6928,12.3151,18.8278,0.3303
-0.4275,1.7666,-0.6921,12.1085,18.7076,0.4414
-0.4287,1.7665,-0.692,12.1862,18.6885,0.5555
-0.4326,1.7659,-0.6911,12.2317,18.6467,0.6453
-0.4338,1.7658,-0.6908,12.2414,18.6871,0.673
-0.4377,1.7652,-0.6896,12.1944,18.7474,0.7221
-0.4398,1.7647,-0.6889,12.2019,18.8063,0.7952
-0.4434,1.7635,-0.6878,12.1533,18.9186,0.9354
-0.4469,1.7619,-0.6867,12.0898,18.9563,1.1243
-0.4481,1.7612,-0.6864,12.1017,18.9522,1.1796
-0.4492,1.7608,-0.6862,12.1644,18.9686,1.1596
-0.4527,1.7591,-0.6853,12.4535,19.0305,1.1845
-0.4543,1.7587,-0.6849,12.5303,19.0677,1.1473
-0.4558,1.7586,-0.6846,12.6511,19.1241,1.136
-0.458,1.7586,-0.6842,12.8917,19.196,1.0952
-0.4601,1.7586,-0.684,13.1714,19.2488,0.9973
-0.4612,1.7583,-0.684,13.4159,19.3402,0.9591
-0.462,1.7581,-0.6841,13.6328,19.3739,1.0252
-0.4623,1.7584,-0.6841,13.7674,19.2846,1.1068
-0.4625,1.7591,-0.684,14.0714,19.2218,1.2065
-0.4624,1.76,-0.6838,14.273,19.1605,1.0962
-0.4623,1.7603,-0.6836,14.4573,19.1803,0.937
-0.4617,1.7603,-0.6832,14.6494,19.246,0.7026
-0.4614,1.7601,-0.683,14.6439,19.3097,0.6189
-0.4608,1.7596,-0.6826,14.8567,19.4649,0.4532
-0.4594,1.7585,-0.6822,15.2754,19.7846,0.2332
-0.4587,1.7582,-0.682,15.4633,19.9425,0.1344
-0.4573,1.7583,-0.6821,15.7169,20.2073,359.9248
-0.4563,1.7588,-0.6823,15.6231,20.3638,359.9043
-0.4544,1.7597,-0.6826,15.2141,20.557,359.9858
-0.4534,1.7603,-0.6827,15.0277,20.6482,0.0429
-0.4516,1.7614,-0.6828,14.4837,20.6374,0.0757
-0.451,1.7617,-0.6829,14.2996,20.6103,0.06
-0.4499,1.7623,-0.6834,14.0196,20.5047,359.9146
-0.4492,1.7623,-0.6838,13.8983,20.4944,359.8957
-0.4481,1.7622,-0.6845,13.6097,20.3659,359.8171
-0.4473,1.7622,-0.6852,13.4737,20.2608,359.7419
-0.447,1.7622,-0.6856,13.4441,20.1993,359.7144
-0.4465,1.7624,-0.6862,13.4038,20.1102,359.6322
-0.446,1.7626,-0.6872,13.3406,20.043,359.5619
-0.4455,1.763,-0.6883,13.1685,19.9667,359.4509
-0.4451,1.7633,-0.6894,13.0008,19.9326,359.4554
-0.4448,1.7634,-0.6902,12.9047,19.9225,359.4512
-0.4445,1.7635,-0.6912,12.8316,19.857,359.4462
-0.4443,1.7635,-0.692,12.8029,19.7537,359.4269
-0.4442,1.7636,-0.6932,12.7964,19.4894,359.4058
-0.4441,1.7637,-0.6946,12.795,19.0887,359.4041
-0.444,1.7636,-0.6951,12.7067,18.9056,359.3357
-0.4438,1.7636,-0.6966,12.7034,18.427,359.1038
-0.4438,1.7635,-0.697,12.6683,18.3366,359.0241
-0.4436,1.7633,-0.6983,12.725,18.0818,358.8844
-0.4435,1.7632,-0.6989,12.768,17.9922,358.8678
-0.4433,1.7629,-0.7001,12.7761,17.803,358.7875
-0.4432,1.7628,-0.7005,12.7734,17.7042,358.8075
-0.4429,1.7629,-0.7015,12.751,17.4354,358.7949
-0.4427,1.763,-0.7021,12.7533,17.2217,358.7543
-0.4424,1.7631,-0.7026,12.8082,17.0455,358.6765
-0.442,1.763,-0.7031,12.8572,16.897,358.5844
-0.4416,1.7628,-0.7034,12.916,16.8328,358.5251
-0.4411,1.7625,-0.7035,12.9681,16.7571,358.4283
-0.4404,1.7623,-0.7035,13.216,16.7375,358.3186
-0.4397,1.7621,-0.7034,13.3565,16.7474,358.291
-0.4388,1.7619,-0.7032,13.5169,16.7887,358.2393
-0.4372,1.7619,-0.7029,13.4799,16.9387,358.0562
-0.4365,1.762,-0.7029,13.4713,17.0074,358.0219
-0.4346,1.7618,-0.7032,13.4677,17.253,357.9113
-0.4338,1.7617,-0.7034,13.6009,17.3268,357.864
-0.431,1.7606,-0.7046,14.4939,17.8104,357.8503
-0.4297,1.7601,-0.7054,15.0868,17.9455,357.8371
-0.4275,1.759,-0.7073,16.8554,18.2273,357.7553
-0.4253,1.7588,-0.7083,17.3576,18.454,357.3145
-0.422,1.758,-0.7102,17.7225,18.6882,356.5014
-0.421,1.7576,-0.711,18.1728,18.7666,356.2655
-0.4198,1.7573,-0.7117,18.583,18.9446,355.9887
-0.4177,1.7571,-0.7129,19.0072,19.0387,355.3131
-0.4164,1.7572,-0.7136,19.2112,18.8567,354.8269
-0.4141,1.758,-0.7146,19.5415,18.8108,353.8721
-0.4128,1.7584,-0.7149,19.6274,19.0226,353.2582
-0.4102,1.759,-0.7157,20.0743,19.2627,352.1898
-0.4086,1.7591,-0.716,20.0894,19.5882,351.6757
-0.4059,1.7593,-0.7166,20.0335,20.4556,350.7819
-0.4026,1.7594,-0.7175,20.2122,21.4811,350.6378
-0.4008,1.7596,-0.7178,20.2555,21.9486,350.527
-0.396,1.7608,-0.7188,20.0993,22.4965,350.7643
-0.3936,1.7613,-0.7192,19.8874,22.7237,350.8512
-0.3882,1.7623,-0.7202,19.4484,22.7363,350.8069
-0.3853,1.7627,-0.7205,19.1087,22.8052,350.7998
-0.3766,1.7638,-0.7211,18.5197,22.4722,350.5831
-0.3668,1.7655,-0.7205,18.2938,21.8539,350.4703
-0.3613,1.766,-0.7201,18.3069,21.3664,350.6888
-0.3494,1.7662,-0.7197,18.7725,19.9348,351.2375
-0.3433,1.7658,-0.7199,18.9787,19.1669,351.3865
-0.3368,1.7649,-0.7206,19.198,18.4064,351.2061
